SepalLength,SepalWidth,Outlier
7,3.2,1
6.3,3.3,1
5.1,3.5,0
4.9,3,0
4.7,3.2,0
4.6,3.1,0
5,3.6,0
5.4,3.9,0
4.6,3.4,0
5,3.4,0
4.4,2.9,0
4.9,3.1,0
5.4,3.7,0
4.8,3.4,0
4.8,3,0
4.3,3,0
5.8,4,0
5.7,4.4,0
5.4,3.9,0
5.1,3.5,0
5.7,3.8,0
5.1,3.8,0
5.4,3.4,0
5.1,3.7,0
4.6,3.6,0
5.1,3.3,0
4.8,3.4,0
5,3,0
5,3.4,0
5.2,3.5,0
5.2,3.4,0
4.7,3.2,0
4.8,3.1,0
5.4,3.4,0
5.2,4.1,0
5.5,4.2,0
4.9,3.1,0
5,3.2,0
5.5,3.5,0
4.9,3.6,0
4.4,3,0
5.1,3.4,0
5,3.5,0
4.5,2.3,0
4.4,3.2,0
5,3.5,0
5.1,3.8,0
4.8,3,0
5.1,3.8,0
4.6,3.2,0
5.3,3.7,0
5,3.3,0
