V1,V2,V3,V4,label
1889,1651,1561,1778,0
2403,2048,2087,2197,0
2119,1700,1815,2222,0
1645,1627,1110,1533,0
1976,1916,1614,1883,0
1712,1712,1439,1546,0
1943,1685,1271,1671,0
2104,1820,1717,1874,0
2983,2794,2412,2581,1
1745,1600,1384,1508,0
1710,1591,1518,1667,0
2046,1907,1627,1898,0
1840,1841,1595,1741,0
1867,1685,1493,1678,0
1859,1649,1389,1714,0
1954,2149,1180,1281,1
1325,1170,1002,1176,0
1419,1371,1252,1308,0
1828,1634,1602,1755,0
1725,1594,1313,1646,0
2276,2189,1547,2111,0
1899,1614,1422,1477,0
1633,1513,1290,1516,0
2061,1867,1646,2037,0
1856,1493,1356,1533,0
1727,1412,1238,1469,0
2168,1896,1701,1834,0
1655,1675,1414,1597,0
2326,2301,2065,2234,0
1490,1382,1214,1284,0
