experiment,precision,recall,f1_score,running_time
1,0.4944444444444445,0.7111111111111111,0.5666666666666667,11.247870072023943
2,0.5416666666666666,0.6166666666666667,0.5538888888888889,11.181668504024856
3,0.5333333333333333,0.6388888888888888,0.5536507936507936,11.122308032005094
4,0.538888888888889,0.5916666666666667,0.5498412698412698,11.22897227096837
5,0.5777777777777778,0.6722222222222222,0.5879365079365079,11.161180282011628
6,0.4944444444444444,0.6722222222222222,0.5477777777777777,11.153499730979092
7,0.5388888888888889,0.6194444444444444,0.5500000000000002,11.11792712699389
8,0.5222222222222223,0.5805555555555555,0.523015873015873,11.084868216014002
9,0.5677777777777778,0.575,0.5482539682539682,11.133272517006844
10,0.6527777777777776,0.6516666666666667,0.6246296296296295,11.14783907297533
11,0.4888888888888889,0.4944444444444444,0.4777777777777777,11.166345048986841
12,0.5555555555555556,0.611111111111111,0.5566666666666666,11.228164245956577
13,0.5333333333333333,0.6305555555555556,0.5640476190476191,11.15055007400224
14,0.5111111111111112,0.6711111111111111,0.5640740740740742,11.095334851997904
15,0.4305555555555555,0.5,0.4558730158730159,11.045840563019738
16,0.6083333333333335,0.5611111111111111,0.5533333333333332,11.1200697379536
17,0.6722222222222223,0.6583333333333333,0.6441269841269842,11.156362434965558
18,0.5861111111111111,0.625,0.5772222222222223,11.132326619001105
19,0.5916666666666667,0.6722222222222222,0.5933333333333334,11.111749064992182
20,0.5722222222222222,0.5999999999999999,0.563968253968254,11.122878033027519
21,0.5772222222222222,0.6138888888888889,0.5646825396825397,11.146596756007057
22,0.65,0.5972222222222221,0.5956349206349206,11.132701611961238
23,0.6277777777777777,0.661111111111111,0.6122222222222221,11.19171726499917
24,0.5277777777777778,0.6333333333333334,0.5433333333333332,11.158015786029864
25,0.5055555555555555,0.6722222222222222,0.5566666666666666,11.115571636008099
26,0.5700000000000001,0.6822222222222222,0.586851851851852,11.140108655032236
27,0.45,0.49999999999999994,0.46349206349206346,11.091717763978522
28,0.5666666666666667,0.711111111111111,0.5988888888888888,11.07823931000894
29,0.6722222222222222,0.6694444444444444,0.6401587301587301,11.176399255986325
30,0.6611111111111111,0.5777777777777777,0.5902380952380953,11.144653553026728
