stream_id,window,outlier_indices,outlying_attributes,ground_truth,TP,FP,FN,TN,precision,recall,f1_score
1,window_0,462,"['V1', 'V7', 'V9', 'V2', 'V6', 'V10']","['V6', 'V7', 'V3', 'V2']",3,3,1,3,0.5,0.75,0.6
1,window_0,463,"['V10', 'V9', 'V1', 'V3', 'V7']","['V10', 'V2', 'V5']",1,4,2,3,0.2,0.3333333333333333,0.25
1,window_0,476,"['V8', 'V9', 'V7', 'V6', 'V10', 'V3']","['V3', 'V7', 'V1', 'V8', 'V5', 'V9']",4,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,window_0,520,"['V9', 'V7', 'V8', 'V10', 'V6', 'V3', 'V2']","['V10', 'V6', 'V5', 'V2', 'V7', 'V1', 'V3', 'V4']",5,2,3,0,0.7142857142857143,0.625,0.6666666666666666
1,window_0,573,"['V7', 'V9', 'V3', 'V2', 'V4']","['V10', 'V9', 'V3', 'V8']",2,3,2,3,0.4,0.5,0.4444444444444445
1,window_0,799,"['V9', 'V1', 'V10', 'V7', 'V8', 'V2']","['V8', 'V5']",1,5,1,3,0.16666666666666666,0.5,0.25
1,window_0,875,"['V7', 'V6', 'V10', 'V9', 'V1', 'V8', 'V5']",['V7'],1,6,0,3,0.14285714285714285,1.0,0.25
1,window_0,877,"['V1', 'V9', 'V7', 'V10', 'V6']","['V5', 'V2', 'V7', 'V4']",1,4,3,2,0.2,0.25,0.22222222222222224
1,window_0,886,"['V1', 'V7', 'V9']",['V2'],0,3,1,6,0.0,0.0,0.0
1,window_0,946,"['V7', 'V9', 'V1', 'V3', 'V2']","['V6', 'V9', 'V1', 'V7', 'V4']",3,2,2,3,0.6,0.6,0.6
2,window_0,11,"['V15', 'V26', 'V19', 'V25', 'V14', 'V13', 'V16']","['V22', 'V15', 'V13', 'V24', 'V21', 'V11', 'V16', 'V19']",4,3,4,5,0.5714285714285714,0.5,0.5333333333333333
2,window_0,146,"['V19', 'V25', 'V11', 'V26', 'V18']","['V15', 'V17', 'V21', 'V11', 'V12', 'V19']",2,3,4,7,0.4,0.3333333333333333,0.3636363636363636
2,window_0,275,"['V25', 'V20', 'V26', 'V19', 'V15']","['V12', 'V26', 'V25', 'V16', 'V13', 'V21', 'V15', 'V20', 'V14', 'V19', 'V11', 'V17', 'V24', 'V18']",5,0,9,2,1.0,0.35714285714285715,0.5263157894736842
2,window_0,358,"['V25', 'V26', 'V20', 'V15', 'V23']","['V13', 'V18', 'V23', 'V15', 'V11', 'V22', 'V26', 'V25', 'V16', 'V20', 'V21', 'V17', 'V14']",5,0,8,3,1.0,0.38461538461538464,0.5555555555555556
2,window_0,383,"['V26', 'V19', 'V16', 'V25', 'V18']","['V12', 'V17', 'V18', 'V20', 'V11', 'V14', 'V24', 'V23', 'V15', 'V16']",2,3,8,3,0.4,0.2,0.26666666666666666
2,window_0,390,"['V15', 'V25', 'V26', 'V19', 'V11', 'V14', 'V13']","['V22', 'V17', 'V13', 'V14']",2,5,2,7,0.2857142857142857,0.5,0.36363636363636365
2,window_0,485,"['V25', 'V20', 'V12', 'V19', 'V15', 'V26']","['V13', 'V15', 'V12']",2,4,1,9,0.3333333333333333,0.6666666666666666,0.4444444444444444
2,window_0,541,"['V15', 'V12', 'V19', 'V13', 'V26', 'V25', 'V11']","['V20', 'V12', 'V22', 'V17']",1,6,3,6,0.14285714285714285,0.25,0.18181818181818182
2,window_0,673,"['V26', 'V15', 'V11', 'V19', 'V20', 'V25']","['V15', 'V16', 'V20', 'V18']",2,4,2,8,0.3333333333333333,0.5,0.4
2,window_0,682,"['V25', 'V19', 'V26', 'V17', 'V14', 'V11']","['V19', 'V22', 'V16', 'V23', 'V25', 'V21', 'V26', 'V11', 'V18', 'V17']",5,1,5,5,0.8333333333333334,0.5,0.625
3,window_0,190,"['V36', 'V34', 'V30', 'V35', 'V31']","['V36', 'V32', 'V31', 'V28', 'V33', 'V27', 'V29', 'V30']",3,2,5,0,0.6,0.375,0.4615384615384615
3,window_0,265,"['V30', 'V36', 'V27', 'V34', 'V31']","['V36', 'V28', 'V31']",2,3,1,4,0.4,0.6666666666666666,0.5
